,Software Systems,,
Class,Full Name,Pre req,Recommended
CPSC 1301K,Computer Science 1,N/A,
CPSC 2105,Computer Organization,CPSC 1301K,
CPSC 3121,Assembly 1,CPSC 2105,
CPSC 5155,Computer Architecture,CPSC 3121,
CYBR 2106,Intro to Information Security,CPSC 1301K,CYBR 2159
CYBR 2159,Fundementals of Computer Networking,CPSC 1301K,
CPSC 3000+,Technical elective,N/A,
CPSC 1302,Computer Science 2,CPSC 1301K,
CPSC 3131,Database Systems 1,CPSC 1302,
CPSC 3125 ,Operating Systems,"CPSC 2108, CPSC 2105",
CPSC 3175,Data Structures,CPSC 1302,MATH 2125
CPSC 3175,Object-oriented design,CPSC 2108,
CPSC 5135,programming languages,CPSC 3175,
CPSC 5115,Algorithm analysis & design,"CPSC 2108 , MATH 5125",
CSPC 5128,Theory of computation,CPSC 5115,
MATH 1113,pre-calculcus,N/A,
MATH 2125,Intro to Discrete math,MATH 1113,
MATH 5125,Discrete Math,MATH 2125,
CPSC 4175,Software engineering,CPSC 3175,
CPSC 4176,Senior Software engineering project,CPSC 4175,
CPSC 5157,Computer Networks,"CYBR 2159, CPSC 2108",
CPSC 3165,professionalism in computing,N/A,
CPSC 4000,Baccalaureate Survey,Take Last Semester,
